               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07313,            0.032971,            0.022122,              0.3541,             0.19132,             0.15569,             0.04763,            0.068883,            0.018989,             0.01222,            0.070131,           0.0033188,           0.0033188
                   1,            0.067589,            0.030152,             0.01355,             0.31206,             0.18939,             0.15065,            0.050383,            0.067958,            0.018511,            0.012504,            0.039999,           0.0065204,           0.0065204
                   2,            0.066571,            0.029568,            0.011554,             0.24449,             0.20856,             0.13148,            0.037515,            0.070145,            0.019293,            0.013655,           0.0097356,             0.00959,             0.00959
                   3,            0.066762,            0.030444,            0.010757,             0.26379,             0.22242,             0.15459,            0.050652,            0.068045,            0.018495,           0.0091543,            0.009406,            0.009406,            0.009406
                   4,            0.064931,            0.028332,           0.0090436,             0.36561,              0.2937,             0.22562,            0.073647,            0.064131,            0.017385,           0.0071623,            0.009406,            0.009406,            0.009406
                   5,            0.063441,             0.02839,           0.0079639,             0.39269,             0.31737,             0.25314,            0.089607,            0.063185,            0.016939,           0.0061708,            0.009208,            0.009208,            0.009208
                   6,             0.06249,            0.028684,           0.0071034,             0.39521,             0.30016,             0.23033,            0.078656,            0.064186,            0.017572,           0.0076649,             0.00901,             0.00901,             0.00901
                   7,            0.061351,            0.027871,           0.0065376,             0.48948,             0.35345,             0.30983,             0.11628,            0.060677,            0.016601,            0.007625,            0.008812,            0.008812,            0.008812
                   8,            0.060821,            0.026895,           0.0061566,             0.46428,             0.33568,             0.30014,             0.11585,            0.062397,            0.016848,           0.0066289,            0.008614,            0.008614,            0.008614
                   9,            0.059414,            0.026635,           0.0054737,             0.45057,             0.34095,             0.29762,              0.1185,            0.061141,            0.016532,           0.0092683,            0.008416,            0.008416,            0.008416
                  10,            0.059018,            0.026722,           0.0055868,             0.50196,             0.38919,             0.34269,             0.13708,            0.059266,            0.015882,            0.006557,            0.008218,            0.008218,            0.008218
                  11,            0.058108,            0.026088,           0.0049619,             0.50771,             0.41888,             0.40645,             0.15771,            0.058346,            0.015645,           0.0041868,             0.00802,             0.00802,             0.00802
                  12,            0.057491,            0.025636,           0.0050819,             0.53477,             0.39348,             0.39305,             0.14631,            0.057984,              0.0156,           0.0060455,            0.007822,            0.007822,            0.007822
                  13,            0.057093,            0.025157,           0.0043675,              0.5803,             0.42275,             0.41356,             0.15608,            0.057491,            0.015716,           0.0049486,            0.007624,            0.007624,            0.007624
                  14,            0.056229,            0.025652,           0.0045003,             0.51179,             0.44045,             0.41877,             0.16955,            0.058037,            0.015316,           0.0055534,            0.007426,            0.007426,            0.007426
                  15,            0.055851,            0.025036,           0.0042641,             0.56398,               0.456,             0.46053,             0.18679,            0.054891,            0.015342,           0.0038862,            0.007228,            0.007228,            0.007228
                  16,             0.05512,            0.024797,           0.0037645,             0.64988,             0.43722,             0.44738,             0.17698,            0.056302,            0.015423,           0.0045723,             0.00703,             0.00703,             0.00703
                  17,            0.054948,            0.024274,           0.0039475,              0.6073,             0.45908,             0.44851,             0.17979,            0.054805,            0.015417,           0.0046495,            0.006832,            0.006832,            0.006832
                  18,            0.054498,            0.024312,           0.0035878,             0.59652,             0.45534,             0.45117,             0.18343,            0.055894,            0.015061,           0.0048684,            0.006634,            0.006634,            0.006634
                  19,            0.054521,            0.024808,           0.0036477,             0.56549,             0.47187,             0.44935,             0.18034,            0.055124,            0.015014,           0.0045385,            0.006436,            0.006436,            0.006436
                  20,            0.053323,            0.024049,           0.0033038,              0.6112,             0.48287,             0.47793,             0.19617,            0.055098,            0.015006,           0.0036922,            0.006238,            0.006238,            0.006238
                  21,            0.052665,            0.024107,           0.0030444,             0.64303,             0.47297,             0.48987,             0.20014,            0.053895,            0.014952,           0.0042985,             0.00604,             0.00604,             0.00604
                  22,            0.052475,            0.023775,            0.002805,              0.6226,             0.51363,             0.50428,             0.20668,            0.054253,            0.014469,           0.0046538,            0.005842,            0.005842,            0.005842
                  23,            0.051943,            0.023807,           0.0029403,             0.64986,             0.51057,             0.51209,              0.2104,            0.053201,            0.014506,           0.0037718,            0.005644,            0.005644,            0.005644
                  24,             0.05188,            0.023706,           0.0028675,             0.63733,             0.48615,             0.49256,             0.20274,             0.05339,            0.014669,           0.0042888,            0.005446,            0.005446,            0.005446
                  25,            0.051436,            0.023092,           0.0028062,             0.62617,             0.52175,             0.52054,             0.21895,            0.052636,            0.014803,           0.0037983,            0.005248,            0.005248,            0.005248
                  26,            0.050944,            0.023861,           0.0025753,             0.61249,             0.53041,             0.49578,             0.21068,            0.052798,            0.014631,           0.0036909,             0.00505,             0.00505,             0.00505
                  27,            0.050157,            0.023208,           0.0025882,             0.63709,             0.49654,             0.50344,             0.21431,            0.052603,            0.014372,           0.0039921,            0.004852,            0.004852,            0.004852
                  28,             0.05059,            0.023051,           0.0025171,             0.62364,             0.53356,             0.51859,             0.21965,            0.053105,            0.014098,           0.0043163,            0.004654,            0.004654,            0.004654
                  29,            0.049715,            0.022577,            0.002186,             0.68384,             0.51334,             0.54413,             0.23684,            0.052378,            0.014312,           0.0045991,            0.004456,            0.004456,            0.004456
                  30,            0.049878,            0.022517,           0.0022208,             0.66526,             0.52453,             0.52448,              0.2161,            0.052219,            0.014074,           0.0043489,            0.004258,            0.004258,            0.004258
                  31,            0.049449,            0.022409,           0.0025048,             0.65397,             0.54964,             0.55486,             0.23497,            0.051721,            0.014128,           0.0041275,             0.00406,             0.00406,             0.00406
                  32,            0.049075,            0.022289,           0.0020887,             0.70127,              0.5499,             0.54343,             0.23903,            0.051179,            0.014261,           0.0043321,            0.003862,            0.003862,            0.003862
                  33,            0.049233,            0.022104,           0.0021891,             0.66575,             0.53317,             0.54713,             0.23562,            0.051786,            0.013899,           0.0036489,            0.003664,            0.003664,            0.003664
                  34,            0.048454,            0.022707,           0.0018174,             0.67497,             0.53379,             0.55179,             0.24303,              0.0507,            0.014018,             0.00405,            0.003466,            0.003466,            0.003466
                  35,            0.048501,            0.021935,           0.0021354,             0.66279,             0.53449,             0.53941,             0.23304,            0.051288,            0.013969,           0.0036454,            0.003268,            0.003268,            0.003268
                  36,            0.048106,             0.02178,           0.0021326,             0.65667,             0.52894,             0.53531,             0.23616,            0.051413,            0.013877,           0.0039192,             0.00307,             0.00307,             0.00307
                  37,            0.047735,            0.022157,           0.0016998,             0.65959,             0.54406,             0.54778,             0.24091,            0.051376,            0.014093,           0.0036653,            0.002872,            0.002872,            0.002872
                  38,             0.04695,            0.021576,           0.0019228,             0.64774,             0.56882,             0.56769,             0.24909,             0.05059,            0.013873,           0.0036759,            0.002674,            0.002674,            0.002674
                  39,            0.047438,            0.021814,           0.0019191,             0.68682,             0.54386,              0.5682,              0.2552,             0.05056,            0.013856,           0.0038109,            0.002476,            0.002476,            0.002476
                  40,            0.046406,            0.021074,            0.001623,             0.64648,             0.56798,             0.57676,             0.25401,            0.049988,             0.01385,           0.0033284,            0.002278,            0.002278,            0.002278
                  41,            0.046664,            0.021672,           0.0016707,             0.67459,             0.56889,             0.58668,              0.2643,            0.050358,            0.013769,           0.0032782,             0.00208,             0.00208,             0.00208
                  42,            0.046235,            0.021177,           0.0015478,             0.70577,             0.57363,             0.58855,             0.25518,            0.050273,            0.013771,           0.0040932,            0.001882,            0.001882,            0.001882
                  43,            0.046095,            0.021001,            0.001594,             0.70205,             0.55316,             0.58263,             0.26266,            0.049803,             0.01368,           0.0038215,            0.001684,            0.001684,            0.001684
                  44,            0.045828,            0.021276,           0.0015106,             0.69758,             0.57958,             0.59034,             0.26228,            0.049757,            0.013663,           0.0032099,            0.001486,            0.001486,            0.001486
                  45,            0.045384,            0.020732,           0.0015221,             0.68736,             0.58592,             0.59884,             0.27037,            0.049633,            0.013581,           0.0036845,            0.001288,            0.001288,            0.001288
                  46,            0.045169,            0.020606,           0.0013919,             0.69738,             0.57855,             0.60036,             0.26472,            0.049404,            0.013571,           0.0038454,             0.00109,             0.00109,             0.00109
                  47,            0.044987,            0.020625,           0.0015737,             0.66967,             0.58313,             0.58166,             0.26601,            0.049443,            0.013619,           0.0038583,            0.000892,            0.000892,            0.000892
                  48,            0.044708,            0.020742,           0.0013944,             0.69914,             0.58538,             0.59744,             0.27226,            0.049059,            0.013613,           0.0037804,            0.000694,            0.000694,            0.000694
                  49,            0.045119,            0.020789,           0.0012217,             0.69687,             0.56812,             0.58389,             0.26689,            0.049447,            0.013596,           0.0039175,            0.000496,            0.000496,            0.000496
