               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10338,            0.029664,            0.027888,             0.11261,            0.051733,             0.01971,           0.0054812,            0.083463,            0.019144,            0.024119,            0.070131,           0.0033188,           0.0033188
                   1,            0.078352,             0.03032,            0.019263,              0.1284,              0.1284,            0.053742,            0.013985,            0.080876,            0.017804,            0.016606,            0.039999,           0.0065204,           0.0065204
                   2,            0.074374,            0.029486,            0.014124,             0.62209,             0.05877,            0.058454,            0.017159,             0.07577,            0.020443,            0.026496,           0.0097356,             0.00959,             0.00959
                   3,             0.07181,            0.030379,             0.01212,             0.19334,             0.13066,            0.096088,            0.030761,            0.072636,             0.01913,            0.012755,            0.009406,            0.009406,            0.009406
                   4,             0.06916,            0.028746,            0.011349,             0.19242,             0.20094,            0.099052,            0.028784,            0.071895,            0.019038,            0.015683,            0.009406,            0.009406,            0.009406
                   5,            0.067253,             0.02889,             0.00914,             0.31876,             0.24575,             0.17343,            0.056713,             0.07023,            0.017146,           0.0081083,            0.009208,            0.009208,            0.009208
                   6,            0.065576,            0.029092,           0.0080396,             0.40964,             0.31192,             0.25441,            0.091106,            0.064755,            0.017559,           0.0084757,             0.00901,             0.00901,             0.00901
                   7,            0.063862,            0.028277,           0.0074989,             0.40133,             0.31427,             0.27186,            0.092835,            0.062725,            0.019907,           0.0081289,            0.008812,            0.008812,            0.008812
                   8,            0.062938,            0.027288,           0.0066266,             0.48894,             0.34576,             0.34234,             0.12313,            0.061542,            0.016086,           0.0058358,            0.008614,            0.008614,            0.008614
                   9,            0.061352,            0.026767,           0.0058741,             0.43573,             0.34929,             0.31739,             0.11231,            0.061346,            0.016021,           0.0060872,            0.008416,            0.008416,            0.008416
                  10,            0.060727,            0.027104,           0.0060784,             0.48678,             0.36456,             0.32568,             0.12144,            0.061275,            0.016246,           0.0053677,            0.008218,            0.008218,            0.008218
                  11,             0.05981,            0.026399,           0.0053939,             0.48756,             0.39378,             0.36797,             0.14169,            0.060342,            0.015841,           0.0068835,             0.00802,             0.00802,             0.00802
                  12,            0.058927,            0.025775,           0.0054456,             0.49409,             0.36862,             0.35304,             0.13776,            0.059478,            0.015985,           0.0057823,            0.007822,            0.007822,            0.007822
                  13,            0.058471,            0.025335,           0.0047142,             0.55299,             0.41293,               0.401,             0.14378,            0.058131,            0.015817,           0.0061889,            0.007624,            0.007624,            0.007624
                  14,            0.057512,            0.025936,           0.0048624,             0.58199,              0.3983,              0.4056,             0.16617,            0.058501,            0.015249,           0.0046803,            0.007426,            0.007426,            0.007426
                  15,            0.056887,            0.025284,           0.0042764,              0.5983,             0.41183,             0.42754,               0.173,            0.057654,            0.015209,            0.005649,            0.007228,            0.007228,            0.007228
                  16,            0.056179,            0.025022,           0.0041604,             0.61314,             0.46186,             0.46123,             0.18471,            0.057503,            0.014987,           0.0052802,             0.00703,             0.00703,             0.00703
                  17,            0.055914,            0.024474,           0.0039546,             0.57327,             0.40543,             0.39978,             0.15687,            0.058132,            0.015701,           0.0060662,            0.006832,            0.006832,            0.006832
                  18,            0.055149,            0.024475,           0.0039551,             0.59086,             0.47194,             0.45463,              0.1808,            0.055693,            0.015031,           0.0056801,            0.006634,            0.006634,            0.006634
                  19,            0.055086,            0.024717,           0.0036504,             0.61532,             0.45221,             0.45081,             0.18491,            0.055036,            0.015076,           0.0049059,            0.006436,            0.006436,            0.006436
                  20,            0.053991,            0.024182,           0.0032498,             0.62513,             0.46389,             0.46228,             0.18705,            0.055234,            0.014951,           0.0048938,            0.006238,            0.006238,            0.006238
                  21,             0.05338,            0.024166,           0.0030762,             0.61506,             0.48347,             0.49149,             0.20376,            0.055147,            0.014965,           0.0050818,             0.00604,             0.00604,             0.00604
                  22,            0.053139,             0.02384,           0.0031421,             0.65626,             0.45847,             0.47534,             0.19792,            0.055578,            0.014854,           0.0050151,            0.005842,            0.005842,            0.005842
                  23,            0.052654,            0.023949,           0.0031973,             0.64077,             0.48217,             0.47808,              0.1974,            0.054595,            0.014798,           0.0058154,            0.005644,            0.005644,            0.005644
                  24,            0.052443,            0.023862,           0.0029051,             0.66951,             0.51105,             0.53669,             0.22238,            0.052903,            0.014265,           0.0042311,            0.005446,            0.005446,            0.005446
                  25,            0.052004,            0.023192,           0.0029185,             0.64394,             0.50459,             0.51372,             0.21283,            0.053449,            0.014633,           0.0042376,            0.005248,            0.005248,            0.005248
                  26,            0.051582,            0.023926,           0.0029173,             0.66494,             0.53968,              0.5291,             0.21866,            0.053442,            0.014378,            0.004097,             0.00505,             0.00505,             0.00505
                  27,            0.050648,            0.023139,           0.0027456,             0.64133,             0.53732,             0.51967,             0.21611,            0.053726,            0.014342,           0.0041684,            0.004852,            0.004852,            0.004852
                  28,             0.05098,            0.022998,           0.0024961,             0.66322,             0.53401,             0.52795,             0.22319,            0.052836,            0.014262,           0.0041431,            0.004654,            0.004654,            0.004654
                  29,            0.050154,            0.022587,           0.0023242,             0.67934,             0.51841,             0.53421,             0.23021,            0.052913,            0.014251,           0.0038971,            0.004456,            0.004456,            0.004456
                  30,            0.050194,            0.022531,           0.0021903,             0.65682,              0.5331,              0.5506,             0.23496,            0.052229,            0.014156,           0.0045258,            0.004258,            0.004258,            0.004258
                  31,            0.049612,            0.022394,           0.0024052,             0.71359,             0.51044,             0.55878,             0.23538,            0.052886,            0.014166,           0.0039798,             0.00406,             0.00406,             0.00406
                  32,            0.049206,             0.02222,           0.0021096,             0.69096,             0.54846,             0.55096,             0.24002,            0.052053,            0.014056,           0.0041509,            0.003862,            0.003862,            0.003862
                  33,            0.049268,            0.022315,           0.0021972,             0.68011,             0.51428,             0.54559,             0.24205,            0.052567,            0.013868,           0.0043699,            0.003664,            0.003664,            0.003664
                  34,            0.049017,            0.022663,            0.002026,             0.69289,             0.54517,             0.58929,             0.25371,            0.050943,            0.013668,           0.0036604,            0.003466,            0.003466,            0.003466
                  35,            0.048673,            0.021809,           0.0019515,             0.67699,              0.5664,              0.5731,             0.25707,            0.051222,            0.013893,           0.0034606,            0.003268,            0.003268,            0.003268
