               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10338,            0.029664,            0.027888,             0.11261,            0.051733,             0.01971,           0.0054812,            0.083463,            0.019144,            0.024119,            0.070131,           0.0033188,           0.0033188
                   1,            0.078509,             0.03029,            0.019323,             0.19517,             0.11987,            0.067114,            0.021445,            0.079013,            0.017851,            0.015188,            0.040065,           0.0065863,           0.0065863
                   2,            0.074494,            0.029625,            0.014402,             0.14357,             0.10611,            0.064343,            0.018185,            0.078356,              0.0196,            0.023434,           0.0099333,           0.0097877,           0.0097877
                   3,            0.072295,             0.03063,            0.012691,             0.19331,             0.15453,            0.098521,            0.032406,             0.07314,            0.018408,            0.012885,            0.009703,            0.009703,            0.009703
                   4,            0.069573,            0.028904,            0.011566,             0.26425,             0.16305,             0.12148,             0.03479,            0.072285,            0.017901,            0.012325,            0.009703,            0.009703,            0.009703
                   5,            0.067554,             0.02889,            0.009254,             0.28451,             0.24074,             0.17128,            0.055687,            0.067924,            0.017604,            0.009364,            0.009604,            0.009604,            0.009604
                   6,            0.065839,            0.029271,           0.0080888,             0.39812,             0.29451,             0.26036,            0.086695,            0.064549,            0.017318,           0.0093281,            0.009505,            0.009505,            0.009505
                   7,            0.064177,            0.028501,           0.0077456,             0.39279,              0.3165,             0.25783,            0.089655,               0.064,            0.017776,           0.0090657,            0.009406,            0.009406,            0.009406
                   8,            0.063295,            0.027553,           0.0072665,             0.39126,             0.25937,             0.23148,            0.083028,            0.065557,            0.017716,           0.0071834,            0.009307,            0.009307,            0.009307
                   9,            0.061644,            0.027066,            0.006205,             0.49232,             0.33627,             0.30023,              0.1055,            0.063693,            0.017126,           0.0084318,            0.009208,            0.009208,            0.009208
                  10,            0.060863,            0.027176,           0.0062152,             0.48978,             0.36811,              0.3274,             0.11875,            0.061306,            0.015889,           0.0054607,            0.009109,            0.009109,            0.009109
                  11,             0.06026,            0.026638,           0.0059325,             0.49402,               0.366,             0.33681,             0.12766,            0.061167,            0.016691,           0.0057379,             0.00901,             0.00901,             0.00901
                  12,            0.059656,            0.025926,           0.0056753,             0.56437,             0.37731,             0.37063,             0.13271,            0.060967,            0.015615,           0.0051976,            0.008911,            0.008911,            0.008911
                  13,            0.059262,            0.025636,           0.0048998,              0.5702,             0.38784,             0.41715,             0.15626,            0.059136,            0.016209,           0.0052349,            0.008812,            0.008812,            0.008812
                  14,            0.058342,            0.026134,           0.0050352,             0.55094,             0.38499,             0.38289,             0.14776,             0.05902,            0.015901,           0.0051523,            0.008713,            0.008713,            0.008713
                  15,            0.057783,            0.025411,           0.0047686,             0.58644,             0.44341,             0.44272,             0.17415,            0.057783,             0.01532,           0.0045668,            0.008614,            0.008614,            0.008614
                  16,            0.056842,            0.025341,           0.0044344,             0.60867,             0.43335,             0.42642,             0.17443,            0.058176,            0.015435,           0.0047813,            0.008515,            0.008515,            0.008515
                  17,            0.056749,            0.024784,           0.0043284,             0.59075,             0.44972,             0.43186,             0.17051,            0.057831,             0.01573,           0.0054543,            0.008416,            0.008416,            0.008416
                  18,            0.056284,            0.024815,           0.0039835,             0.54344,             0.43964,             0.40308,             0.15281,            0.057717,             0.01526,           0.0053745,            0.008317,            0.008317,            0.008317
                  19,            0.056047,            0.025219,           0.0040956,             0.58926,              0.4543,             0.42382,             0.16814,            0.056104,             0.01509,            0.003922,            0.008218,            0.008218,            0.008218
                  20,            0.054942,            0.024426,           0.0035954,             0.63738,             0.44301,             0.46841,             0.18515,            0.056642,            0.015498,           0.0053988,            0.008119,            0.008119,            0.008119
                  21,            0.054683,            0.024648,           0.0035804,             0.63939,             0.47743,             0.46915,             0.19501,             0.05637,            0.015496,           0.0058573,             0.00802,             0.00802,             0.00802
                  22,            0.054428,            0.024269,            0.003318,              0.6207,             0.49349,             0.49625,             0.20393,            0.056024,            0.014625,           0.0046524,            0.007921,            0.007921,            0.007921
                  23,            0.053728,            0.024296,           0.0033929,             0.64661,             0.48918,             0.50148,             0.19898,            0.054834,            0.014731,           0.0055088,            0.007822,            0.007822,            0.007822
                  24,            0.053622,            0.024078,           0.0033534,             0.64755,             0.47795,             0.47477,             0.19965,            0.054907,            0.014539,           0.0041109,            0.007723,            0.007723,            0.007723
                  25,            0.053311,            0.023687,           0.0034214,             0.60554,             0.50852,             0.48235,             0.19504,             0.05607,            0.014694,           0.0039183,            0.007624,            0.007624,            0.007624
                  26,            0.052946,            0.024436,           0.0032265,             0.66737,              0.5029,             0.48912,             0.19466,            0.055033,            0.014493,           0.0049724,            0.007525,            0.007525,            0.007525
                  27,            0.052307,            0.023695,           0.0029936,             0.68129,             0.46969,             0.49089,             0.20299,            0.054653,            0.014466,            0.004043,            0.007426,            0.007426,            0.007426
                  28,            0.052536,            0.023648,           0.0029928,             0.64184,             0.45986,             0.48501,             0.20554,            0.055289,            0.014465,           0.0048028,            0.007327,            0.007327,            0.007327
                  29,            0.051861,            0.023209,           0.0026966,             0.62706,             0.52164,             0.50668,              0.2099,            0.054028,             0.01439,           0.0038343,            0.007228,            0.007228,            0.007228
                  30,            0.051826,            0.023155,           0.0026561,             0.62759,             0.52585,             0.51962,             0.21396,            0.053648,            0.014428,           0.0042237,            0.007129,            0.007129,            0.007129
                  31,            0.051611,            0.023091,           0.0029536,             0.64827,             0.54765,             0.53757,             0.22165,             0.05351,            0.014283,           0.0039591,             0.00703,             0.00703,             0.00703
                  32,              0.0512,            0.022919,           0.0025372,             0.64961,             0.52691,             0.52859,             0.22774,            0.053867,            0.014117,           0.0038622,            0.006931,            0.006931,            0.006931
                  33,            0.051319,             0.02281,           0.0025058,             0.67863,              0.5135,             0.54316,             0.23613,            0.052872,             0.01392,           0.0044289,            0.006832,            0.006832,            0.006832
                  34,            0.050838,            0.023261,           0.0024269,             0.68393,             0.52445,             0.55104,             0.23147,            0.052341,            0.014089,           0.0042102,            0.006733,            0.006733,            0.006733
