               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092221,            0.003455,           0.0040182,          0.00066758,            0.084963,          0.00041396,          0.00010268,             0.10123,           0.0024492,           0.0037391,            0.070131,           0.0033188,           0.0033188
                   1,            0.086519,           0.0038185,           0.0037355,           0.0016483,             0.17628,           0.0012367,          0.00036325,            0.089246,           0.0021392,            0.004478,            0.040065,           0.0065863,           0.0065863
                   2,            0.085086,           0.0038423,           0.0037163,            0.010122,            0.049729,           0.0052198,           0.0013933,            0.090778,           0.0020146,            0.004425,           0.0099333,           0.0097877,           0.0097877
                   3,            0.086096,           0.0037393,           0.0037598,           0.0025331,             0.32705,            0.003456,          0.00093215,            0.084236,           0.0020138,           0.0036594,            0.009703,            0.009703,            0.009703
                   4,            0.084054,           0.0039014,           0.0036537,           0.0024018,             0.32246,           0.0024509,          0.00067355,            0.095154,           0.0018258,            0.039953,            0.009703,            0.009703,            0.009703
                   5,            0.083057,           0.0039437,           0.0037528,           0.0031608,             0.37255,           0.0030707,          0.00091422,            0.086315,           0.0021105,           0.0036935,            0.009604,            0.009604,            0.009604
                   6,            0.084491,           0.0039158,           0.0037333,            0.002381,             0.29982,           0.0036888,          0.00096925,            0.084525,           0.0022174,           0.0035693,            0.009505,            0.009505,            0.009505
                   7,            0.083633,           0.0040006,           0.0036797,           0.0062083,             0.22445,           0.0053991,           0.0014479,            0.083456,           0.0020132,           0.0036399,            0.009406,            0.009406,            0.009406
                   8,            0.082944,           0.0039493,            0.003633,           0.0043336,             0.39833,           0.0079693,           0.0023294,            0.082047,           0.0019702,           0.0035159,            0.009307,            0.009307,            0.009307
                   9,            0.081775,           0.0039549,           0.0035954,           0.0049058,             0.36387,           0.0098411,           0.0029706,            0.079857,           0.0021575,           0.0035593,            0.009208,            0.009208,            0.009208
                  10,              0.0817,           0.0040305,           0.0035919,            0.014458,             0.15711,           0.0072996,           0.0022364,            0.089195,           0.0018623,            0.012227,            0.009109,            0.009109,            0.009109
                  11,             0.08082,           0.0040444,           0.0035453,           0.0096347,             0.25213,            0.012097,            0.003634,            0.080516,           0.0021212,            0.003474,             0.00901,             0.00901,             0.00901
                  12,            0.081453,           0.0040167,           0.0036087,            0.013435,             0.32786,            0.014397,           0.0039365,            0.083434,            0.002104,            0.011675,            0.008911,            0.008911,            0.008911
                  13,            0.081327,           0.0040328,            0.003569,            0.035903,            0.040948,            0.011096,           0.0037674,            0.082926,           0.0022313,           0.0040566,            0.008812,            0.008812,            0.008812
                  14,               0.081,           0.0039591,           0.0035461,            0.030518,             0.12375,            0.013456,           0.0040034,            0.080998,           0.0020307,           0.0034032,            0.008713,            0.008713,            0.008713
                  15,            0.080197,           0.0040321,           0.0035306,            0.031091,             0.20099,            0.020185,           0.0058009,            0.079876,           0.0021619,           0.0033629,            0.008614,            0.008614,            0.008614
                  16,            0.079795,           0.0040663,           0.0035042,            0.029154,             0.13909,            0.014577,           0.0040663,            0.079493,            0.002195,           0.0033701,            0.008515,            0.008515,            0.008515
                  17,            0.079437,           0.0041608,           0.0034617,             0.11719,            0.072305,             0.02686,           0.0072116,            0.077119,             0.00216,           0.0033527,            0.008416,            0.008416,            0.008416
                  18,            0.079905,           0.0039531,            0.003485,            0.042813,             0.09627,            0.014867,           0.0046614,            0.079062,           0.0021449,            0.003248,            0.008317,            0.008317,            0.008317
                  19,            0.079416,           0.0040556,           0.0034711,           0.0015446,             0.21764,          0.00094199,          0.00033111,                 nan,                 nan,            0.047089,            0.008218,            0.008218,            0.008218
                  20,            0.080486,           0.0041091,            0.003439,            0.050152,             0.10483,            0.018105,            0.005334,            0.076356,           0.0022893,           0.0033349,            0.008119,            0.008119,            0.008119
                  21,            0.079399,           0.0041125,           0.0034314,            0.082711,            0.055098,             0.02092,           0.0066184,            0.075962,           0.0022093,           0.0032031,             0.00802,             0.00802,             0.00802
                  22,            0.078993,           0.0041059,           0.0033688,             0.11895,            0.041918,            0.023183,           0.0067235,            0.079397,           0.0021342,           0.0031676,            0.007921,            0.007921,            0.007921
                  23,            0.078805,           0.0041316,           0.0032941,            0.096391,            0.063078,             0.02768,           0.0093661,            0.074912,           0.0022731,           0.0029683,            0.007822,            0.007822,            0.007822
                  24,            0.078034,           0.0041123,           0.0033343,            0.086155,            0.047446,            0.017793,           0.0046382,            0.077924,           0.0021106,           0.0031403,            0.007723,            0.007723,            0.007723
                  25,            0.078536,           0.0041435,           0.0033567,            0.076079,            0.071504,            0.018292,           0.0059491,            0.079296,           0.0021885,           0.0032139,            0.007624,            0.007624,            0.007624
                  26,            0.077939,           0.0041964,           0.0033055,             0.11683,            0.055322,            0.034425,           0.0097377,            0.077138,           0.0022252,           0.0030338,            0.007525,            0.007525,            0.007525
                  27,            0.078123,            0.004156,           0.0032548,            0.085276,            0.067076,             0.02462,           0.0085166,            0.078289,           0.0021383,           0.0029445,            0.007426,            0.007426,            0.007426
                  28,            0.078008,           0.0040969,           0.0032567,             0.10651,            0.071979,            0.019043,           0.0054176,            0.080038,           0.0023588,           0.0036536,            0.007327,            0.007327,            0.007327
                  29,            0.077923,            0.004061,            0.003219,            0.045557,            0.084619,            0.016509,           0.0053447,            0.077031,            0.002324,           0.0029379,            0.007228,            0.007228,            0.007228
                  30,            0.078176,           0.0041674,           0.0032432,              0.1341,            0.080191,            0.035434,            0.010492,              0.0771,           0.0021805,           0.0029895,            0.007129,            0.007129,            0.007129
                  31,             0.07782,           0.0041705,            0.003253,            0.088096,            0.069696,            0.026497,            0.007583,            0.076112,           0.0021876,           0.0028905,             0.00703,             0.00703,             0.00703
                  32,            0.077114,           0.0041486,           0.0031676,             0.11314,             0.10957,            0.037612,            0.011339,            0.077712,           0.0022603,           0.0028771,            0.006931,            0.006931,            0.006931
                  33,            0.077293,            0.004112,           0.0031636,             0.10747,            0.098275,            0.034226,            0.010911,            0.073379,           0.0023419,           0.0027528,            0.006832,            0.006832,            0.006832
                  34,            0.077271,           0.0041103,           0.0031469,             0.11225,            0.077507,            0.032569,           0.0089488,             0.08197,           0.0020259,           0.0029442,            0.006733,            0.006733,            0.006733
                  35,            0.076976,           0.0041969,           0.0031206,             0.11396,            0.077544,             0.04014,            0.012743,             0.07605,           0.0023327,            0.002809,            0.006634,            0.006634,            0.006634
                  36,            0.076417,           0.0042263,             0.00311,             0.13456,              0.1175,             0.04646,            0.013181,            0.072497,           0.0022623,           0.0028474,            0.006535,            0.006535,            0.006535
                  37,             0.07699,           0.0042933,           0.0030629,            0.088904,            0.080965,            0.031228,           0.0091508,            0.075452,           0.0021376,           0.0027841,            0.006436,            0.006436,            0.006436
                  38,            0.076621,           0.0041723,           0.0030341,             0.14628,             0.10651,            0.044091,            0.012483,            0.077017,           0.0021316,           0.0025384,            0.006337,            0.006337,            0.006337
                  39,            0.076594,           0.0041706,           0.0029826,             0.10093,             0.11552,              0.0404,             0.01284,             0.07269,           0.0026084,           0.0026693,            0.006238,            0.006238,            0.006238
                  40,            0.076256,           0.0042158,           0.0030279,             0.10308,            0.081422,            0.036233,            0.011374,            0.073014,           0.0022714,           0.0024989,            0.006139,            0.006139,            0.006139
                  41,            0.076479,           0.0042576,           0.0030184,              0.1269,            0.097473,            0.047036,            0.014226,            0.071897,            0.002378,           0.0026289,             0.00604,             0.00604,             0.00604
                  42,            0.075813,           0.0042275,           0.0029717,             0.20452,             0.10747,            0.050386,            0.018163,            0.072602,           0.0022377,           0.0024715,            0.005941,            0.005941,            0.005941
                  43,            0.075766,           0.0043027,           0.0029945,             0.14192,             0.12179,            0.047294,            0.014769,            0.072409,            0.002248,           0.0025301,            0.005842,            0.005842,            0.005842
                  44,            0.075929,           0.0041769,           0.0029652,             0.16515,             0.12317,            0.059567,            0.019347,            0.070644,           0.0022657,           0.0026111,            0.005743,            0.005743,            0.005743
                  45,            0.076083,           0.0042575,           0.0030139,             0.10371,             0.13293,            0.041883,            0.012863,            0.073745,           0.0022081,           0.0034823,            0.005644,            0.005644,            0.005644
                  46,            0.075797,           0.0042538,           0.0029664,             0.15726,              0.1143,            0.055643,            0.017878,            0.073542,           0.0022147,           0.0026066,            0.005545,            0.005545,            0.005545
                  47,            0.075324,            0.004198,            0.002984,             0.12487,             0.12279,            0.049046,            0.014404,            0.071736,           0.0022624,           0.0023987,            0.005446,            0.005446,            0.005446
                  48,            0.075221,           0.0041313,           0.0029183,             0.17122,             0.10755,              0.0542,            0.020077,            0.072282,           0.0022765,           0.0024528,            0.005347,            0.005347,            0.005347
                  49,            0.074584,           0.0041552,           0.0029327,             0.20491,              0.1341,            0.072296,            0.023158,             0.07079,           0.0023816,           0.0025209,            0.005248,            0.005248,            0.005248
