               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10202,            0.035227,            0.027215,             0.54166,            0.060878,            0.021089,           0.0051686,            0.082787,            0.022901,            0.020626,            0.070333,           0.0032963,           0.0032963
                   1,            0.075668,            0.035386,            0.016765,             0.57512,              0.0998,            0.043646,             0.01356,            0.074539,            0.022008,            0.013991,            0.040202,           0.0064984,           0.0064984
                   2,            0.070856,            0.034422,            0.011808,             0.11964,             0.11959,            0.081325,             0.02227,            0.071957,            0.022259,            0.010405,           0.0099388,           0.0095684,           0.0095684
                   3,            0.066364,            0.033581,           0.0090179,              0.1666,              0.1914,             0.10086,            0.033443,            0.068485,            0.021328,            0.008674,            0.009406,            0.009406,            0.009406
                   4,            0.063055,            0.032991,           0.0078713,             0.17828,             0.23796,             0.12094,            0.039978,            0.066048,            0.025039,           0.0082781,            0.009406,            0.009406,            0.009406
                   5,            0.061353,            0.033152,           0.0077011,               0.165,             0.20671,              0.1081,            0.031469,              0.0643,            0.021907,           0.0088327,            0.009208,            0.009208,            0.009208
                   6,            0.059899,            0.032528,           0.0067507,             0.24427,             0.22445,             0.15175,            0.049221,            0.063839,            0.021919,            0.011473,             0.00901,             0.00901,             0.00901
                   7,            0.058369,            0.032613,           0.0061951,              0.2529,             0.27437,             0.19422,            0.072965,            0.059736,             0.02224,           0.0079975,            0.008812,            0.008812,            0.008812
                   8,            0.057066,             0.03176,           0.0055759,             0.27258,             0.28382,             0.18893,            0.067338,            0.061436,            0.021613,           0.0080732,            0.008614,            0.008614,            0.008614
                   9,            0.056198,            0.031666,           0.0052089,             0.31034,             0.22117,             0.17354,            0.060974,            0.061625,            0.021227,           0.0092736,            0.008416,            0.008416,            0.008416
                  10,            0.055729,            0.031136,           0.0046274,             0.33858,             0.26621,             0.23574,            0.086831,            0.059271,            0.020997,           0.0078941,            0.008218,            0.008218,            0.008218
                  11,            0.054225,            0.031546,           0.0049185,             0.38884,             0.27853,             0.27103,             0.10142,            0.057431,            0.020917,           0.0095127,             0.00802,             0.00802,             0.00802
                  12,            0.053754,            0.030582,           0.0046126,              0.2896,             0.27734,             0.20888,            0.074008,            0.060558,            0.021476,           0.0064416,            0.007822,            0.007822,            0.007822
                  13,            0.052488,            0.030873,           0.0045882,             0.36789,             0.26486,             0.23969,            0.082026,            0.059196,            0.021447,            0.007663,            0.007624,            0.007624,            0.007624
                  14,            0.052352,            0.031009,           0.0040921,             0.37054,             0.22626,             0.19966,            0.077228,            0.059696,            0.022003,            0.008108,            0.007426,            0.007426,            0.007426
                  15,            0.051502,            0.031225,           0.0044209,             0.40734,             0.32579,             0.29042,              0.1149,            0.054647,            0.020868,            0.006914,            0.007228,            0.007228,            0.007228
